,Unnamed: 0,region,city,address,id,pic_url,name,category,link,price,all_prices,name_shop
22,22,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3569791,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/0a0/ciqwbibhe3knbpsdb6lmx7j5t520oabr/261_225_1/kashu_freshku_sw_18102022.jpg,"Вино жемчужное Кашу Фрешку белое сухое
Португалия, 0.75 л., Тежу, 11%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_igristoe_kashu_freshku_zhemchuzhnoe_beloe_sukhoe/,399.99 ₽,399.99 ₽; ,КБ
23,23,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3687870,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/b08/yhk0feaq6s7p8xw2nrk3jlcrhvx1p74j/261_225_1/joia_pinot_grigio_08022023.jpg,"Вино Пино Нуар Джоя Пеи Д'ок красное сухое
Франция, 0.75 л., Окситания, 12.5%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_pino_nuar_dzhoyya_pei_d_ok_krasnoe_sukhoe/,399.99 ₽,399.99 ₽; ,КБ
24,24,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3573871,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/469/fk8f2g3bjmi0kuj19cqzknmxy70hoyio/261_225_1/kashu_freshku_sr_18102022_t.jpg,"Вино жемчужное Кашу Фрешку розовое сухое
Португалия, 0.75 л., Тежу, 11.5%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_igritsoe_kashu_freshku_tezhu_zhemchuzhnoe_rozovoe_sukhoe/,399.99 ₽,399.99 ₽; ,КБ
25,25,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3626133,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/63c/4fgq5x7qaz7v007by28un1jho3i5ht4a/261_225_1/kuyen_mallbec_red_13102022.jpg,"Вино Куен Мальбек-Бонарда красное сухое
Аргентина, 0.75 л., Мендоса, 13%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_kuen_malbek_bonarda_sukhoe_krasnoe_13/,399.99 ₽,399.99 ₽; ,КБ
26,26,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3626134,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/c35/mz5wvi2681wmocszc02q31cbt8hoel5u/261_225_1/kuyen_chardoney_white_13102022.jpg,"Вино Куен Шенен Шардоне белое сухое
Аргентина, 0.75 л., Мендоса, 12%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_kuen_shenen_shardone_beloe_sukhoe/,399.99 ₽,399.99 ₽; ,КБ
27,27,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3630598,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/4cf/56qx9ba2z7s3a0zlef6wg792l0gl24fy/261_225_1/gvinis_marani_pirosmani_14122022.jpg,"Вино Пиросмани Кахури Гвинис Марани красное полусухое
Грузия, 0.75 л., Кахети, 11.5%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_pirosmani_kakhuri_gvinis_marani_krasnoe_polusukhoe/,399.99 ₽,399.99 ₽; ,КБ
28,28,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3425637,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/444/hi7r2w8n2etn350j587xtulm920rirz4/261_225_1/bonne_nouvelle_blanc_21012022.jpg,"Вино безалкогольное Бон Новель белое полусладкое
Франция, 0.75 л.",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_bezalkogolnoe_bon_novel_beloe_polusladkoe/,429.99 ₽,429.99 ₽; ,КБ
29,29,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3627161,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/711/w9stmdjz4wsy5qm3yzmqg0v4ug85y73p/261_225_1/cv_romeira_lisboa_2019_750ml_09122022.jpg,"Вино Ромейра Резерва IGP Лиссабон красное полусухое
Португалия, 0.75 л., Лиссабон, 13%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_romeyra_rezerva_igp_lissabon_krasnoe_polusukhoe/,449.99 ₽,449.99 ₽; ,КБ
30,30,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3630601,https://krasnoeibeloe.ru/upload/iblock/d1e/gilbert-malenkaya.jpg,"Вино Куумба Совиньон Блан белое сухое
ЮАР, 0.75 л., Вестерн Кейп, 12.5%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_kuumba_sovinon_blan_beloe_sukhoe/,449.99 ₽,449.99 ₽; ,КБ
31,31,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3631643,https://krasnoeibeloe.ru/upload/iblock/d1e/gilbert-malenkaya.jpg,"Вино Куумба Пинотаж красное полусухое
ЮАР, 0.75 л., Вестерн Кейп, 13.5%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_kuumba_pinotazh_krasnoe_polusukhoe/,449.99 ₽,449.99 ₽; ,КБ
32,32,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3632906,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/474/ihsryq4htqjvjomy6tr2qws1nd41m0x9/261_225_1/badagoni_cinandali_13102022.jpg,"Вино Цинандали Бадагони белое сухое
Грузия, 0.75 л., Кахети, 13%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_tsinandali_badagoni_beloe_sukhoe/,469.90 ₽,469.90 ₽; ,КБ
33,33,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3708974,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/c30/3wpthry648jrkm10jtvd0rlhp85kldqa/261_225_1/badagoni_saperavi_13102022.jpg,"Вино Саперави Бадагони красное сухое
Грузия, 0.75 л., Кахети, 13%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_saperavi_badagoni_krasnoe_sukhoe/,469.90 ₽,469.90 ₽; ,КБ
34,34,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",1004251,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/d41/ntrb5xpv7r1or3d0ro4egrub3e7kxfqu/261_225_1/Pollini_LFM_new.jpg,"Вино Молоко Любимой Женщины белое полусладкое
Германия, 0.75 л., Рейнхессен, 9.5%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/__410/,469.99 ₽,469.99 ₽; ,КБ
35,35,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",2912934,https://krasnoeibeloe.ru/upload/iblock/634/Luka-Maroni-2.jpg,"Вино Фонте Форте Бьянко Терре Ди Кьети Абруццо IGP белое сухое
Италия, 0.75 л., Абруццо, 12%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_fonte_forte_byanko_zashch_geogr_uk_bel_sukh/,469.99 ₽,469.99 ₽; ,КБ
36,36,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",2914196,https://krasnoeibeloe.ru/upload/iblock/634/Luka-Maroni-2.jpg,"Вино Фонте Форте Россо Терре Ди Кьети Абруццо IGP красное сухое
Италия, 0.75 л., Абруццо, 12.5%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_fonte_forte_rosso_zashch_geogr_uk_kr_sukh/,469.99 ₽,469.99 ₽; ,КБ
37,37,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3244280,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/e62/jjew3t4jogrzhyuj96twvyoz1uw0cktb/261_225_1/bus_04.12.jpg,"Вино Бас 9 Лиссабон IG красное полусухое
Португалия, 0.75 л., Лиссабон, 13%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_bas_9_lissabon_ig_krasnoe_polusukhoe/,469.99 ₽,469.99 ₽; ,КБ
38,38,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3588255,https://krasnoeibeloe.servicecdn.ru/local/templates/.default/img/offer.png,"Вино Домен Де Сибадье Шардоне белое сухое
Франция, 0.75 л., Лангедок Руссийон, 13.5%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_domen_de_sibade_pino_nuar_krasnoe_sukhoe_1/,469.99 ₽,469.99 ₽; ,КБ
39,39,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3628318,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/d82/0fxbp353xy2zaf9xy6u1ah7jfltaiwy3/261_225_1/hermoso_vallet_merlo_12122022.jpg,"Вино Валле Эрмосо Мерло красное сухое
Чили, 0.75 л., Центральная Долина, 13%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_valle_ermoso_merlo_krasnoe_sukhoe/,469.99 ₽,469.99 ₽; ,КБ
40,40,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3712612,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/b29/01ie09he3surxr9ce3pd3dvj3kv922a9/261_225_1/deep_rouge_06032023.jpg,"Вино Дип Руж ДжиЭсЭм Пеи ДОК красное полусухое
Франция, 0.75 л., Лангедок, 13.5%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_dip_ruzh_dzhiesem_pei_dok_krasnoe_sukhoe/,469.99 ₽,469.99 ₽; ,КБ
41,41,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3702008,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/705/49ovjzvlteykyuyk5u0l35i8qzix3y5x/261_225_1/lebusud_16052023.jpg,"Вино Каберне-Сира Ле Бью Сюд Пэи д`Ок красное полусухое
Франция, 0.75 л., Лангедок, 13%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_kaberne_sira_le_byu_syud_pei_dok_krasnoe_polusukhoe/,469.99 ₽,469.99 ₽; ,КБ
42,42,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3221553,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/317/g7zomnz5ciqvot9g0uv8e66mfd6vixyb/261_225_1/vizconde_temparilio_21102021.jpg,"Вино Висконде Де Бегихар DOP красное полусладкое
Испания, 0.75 л., Ла Манча, 13%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_viskonde_de_begikhar_dop_zashch_naim_kr_p_sl/,489.90 ₽,489.90 ₽; ,КБ
43,43,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3221554,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/741/7ntrop7zgcw7v776ydfe5jo71g6n5iqf/261_225_1/vizconde_temparilio_suhoe_21102021.jpg,"Вино Висконде Де Бегихар DOP красное сухое
Испания, 0.75 л., Ла Манча, 13%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_viskonde_de_begikhar_dop_zashch_naim_kr_sukh/,489.90 ₽,489.90 ₽; ,КБ
44,44,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3456236,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/4fc/9so06woif3584rjj25fva28j6803b9y1/261_225_1/crianza_250521_t.jpg,"Вино Пуэнте Ла Каролина Крианса Риоха DOC красное сухое
Испания, 0.75 л., Риоха, 13.5%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_puente_la_karolina_kriansa_riokha_doc_krasnoe_sukhoe/,489.90 ₽,489.90 ₽; ,КБ
45,45,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3565324,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/67d/3zpelbej6d8a9lz9bnhkgjru64ij7tkp/261_225_1/villa_s_anna_sangiovese_07102022.jpg,"Вино Вилла С.Анна Санджовезе Марке ИГТ красное полусухое
Италия, 0.75 л., Марке, 12%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_sortovoe_villa_s_anna_sandzhoveze_marke_igt_krasnoe_polusukhoe/,489.90 ₽,489.90 ₽; ,КБ
46,46,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3566434,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/aaa/er4oopog6431brut3xy3rx5x2wsshpxi/261_225_1/villa_s_anna_trebbiano_07102022.jpg,"Вино Вилла С. Анна Треббьяно Рубиконе ИГТ белое полусухое
Италия, 0.75 л., Эмилия-Романья, 11.5%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_villa_s_anna_trebbyano_rubikone_igt_beloe_polusukhoe/,489.90 ₽,489.90 ₽; ,КБ
47,47,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3711690,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/324/prolo0jyh7by7rqkn8pggj9c23t6m60b/261_225_1/casa_venta_don_juan_bobal_rose_dry_03032023.jpg,"Вино Кампо Вента Дон Хуан Тиерра де Кастилья розовое сухое
Испания, 0.75 л., Кастилия, 12%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_kampo_venta_don_khuan_tierra_de_kastilya_rozovoe_sukhoe/,489.90 ₽,489.90 ₽; ,КБ
48,48,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3623000,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/c74/3sf2sj92fh8qi82twvlv4h0wqu75gekp/261_225_1/mukuzani_29112022.jpg,"Вино Мукузани Кахури Гвинис Марани красное сухое
Грузия, 0.75 л., Кахети, 12%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_mukuzani_kakhuri_gvinis_marani_krasnoe_sukhoe/,489.90 ₽,489.90 ₽; ,КБ
49,49,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3613024,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/30a/fcmep23p2jq32d43ry4lauds1xrkdmqv/261_225_1/hermoso_25112022.jpg,"Вино Валле Эрмосо Шардоне белое сухое
Чили, 0.75 л., Центральная Долина, 10%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_valle_ermoso_shardone_beloe_sukhoe/,489.99 ₽,489.99 ₽; ,КБ
50,50,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3793513,https://krasnoeibeloe.servicecdn.ru/upload/resize_cache/iblock/036/cpim3ydhyhel5ow601bzulzvvanwu6lq/261_225_1/vino_kvevri_kindzmarauli_260623.jpg,"Вино выдержанное сортовое Кахури Киндзмараули красное полусладкое
Грузия, 0.75 л., Кахети, 12%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_vyderzhannoe_sortovoe_kakhuri_kindzmarauli_krasnoe_polusladkoe/,489.99 ₽,489.99 ₽; ,КБ
51,51,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3671037,https://krasnoeibeloe.servicecdn.ru/local/templates/.default/img/offer.png,"Вино Мар и Луна Гарнача Тинторера красное сухое
Испания, 0.75 л., Кастилья Ла Манча, 13.5%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_mar_i_luna_garnacha_tintorera_krasnoe_sukhoe/,499.90 ₽,499.90 ₽; ,КБ
52,52,Владимирская область,Владимир,"мкр Юрьевец,ул. Всесвятская, 3",3671036,https://krasnoeibeloe.servicecdn.ru/local/templates/.default/img/offer.png,"Вино Мар и Луна Каберне Фран красное сухое
Испания, 0.75 л., Кастилья Ла Манча, 13.5%",Вино импорт,https://krasnoeibeloe.ru/catalog/vino/vino_mar_i_luna_kaberne_fran_krasnoe_sukhoe/,499.90 ₽,499.90 ₽; ,КБ
