,name,info,image
59,ВиноКуумбаСовиньонБланбелоесухое,"ЮАР, 0.75 л., Вестерн Кейп, 12.5%",ВиноКуумбаСовиньонБланбелоесухое.png
60,ВиноКуумбаПинотажкрасноеполусухое,"ЮАР, 0.75 л., Вестерн Кейп, 13.5%",ВиноКуумбаПинотажкрасноеполусухое.png
61,ВиноСаперавиБадагоникрасноесухое,"Грузия, 0.75 л., Кахети, 13%",ВиноСаперавиБадагоникрасноесухое.png
62,ВиноЦинандалиБадагонибелоесухое,"Грузия, 0.75 л., Кахети, 13%",ВиноЦинандалиБадагонибелоесухое.png
63,ВиноМолокоЛюбимойЖенщиныбелоеполусладкое,"Германия, 0.75 л., Рейнхессен, 9.5%",ВиноМолокоЛюбимойЖенщиныбелоеполусладкое.png
64,ВиноФонтеФортеБьянкоТерреДиКьетиАбруццоIGPбелоесухое,"Италия, 0.75 л., Абруццо, 12%",ВиноФонтеФортеБьянкоТерреДиКьетиАбруццоIGPбелоесухое.png
65,ВиноФонтеФортеРоссоТерреДиКьетиАбруццоIGPкрасноесухое,"Италия, 0.75 л., Абруццо, 12.5%",ВиноФонтеФортеРоссоТерреДиКьетиАбруццоIGPкрасноесухое.png
66,ВиноБас9ЛиссабонIGкрасноеполусухое,"Португалия, 0.75 л., Лиссабон, 13%",ВиноБас9ЛиссабонIGкрасноеполусухое.png
67,ВиноБас9ЛиссабонIGбелоеполусухое,"Португалия, 0.75 л., Лиссабон, 13%",ВиноБас9ЛиссабонIGбелоеполусухое.png
68,ВиноДоменДеСибадьеШардонебелоесухое,"Франция, 0.75 л., Лангедок Руссийон, 13.5%",ВиноДоменДеСибадьеШардонебелоесухое.png
69,ВиноДомендеСибадьеПиноНуаркрасноесухое,"Франция, 0.75 л., Лангедок Руссийон, 13%",ВиноДомендеСибадьеПиноНуаркрасноесухое.png
70,ВиноВаллеЭрмосоМерлокрасноесухое,"Чили, 0.75 л., Центральная Долина, 13%",ВиноВаллеЭрмосоМерлокрасноесухое.png
71,ВиноДипРужДжиЭсЭмПеиДОКкрасноеполусухое,"Франция, 0.75 л., Лангедок, 13.5%",ВиноДипРужДжиЭсЭмПеиДОКкрасноеполусухое.png
72,ВиноКабернеСираЛеБьюСюдПэидОккрасноеполусухое,"Франция, 0.75 л., Лангедок, 13%",ВиноКабернеСираЛеБьюСюдПэидОккрасноеполусухое.png
73,ВиноВискондеДеБегихарDOPкрасноеполусладкое,"Испания, 0.75 л., Ла Манча, 13%",ВиноВискондеДеБегихарDOPкрасноеполусладкое.png
74,ВиноВискондеДеБегихарDOPкрасноесухое,"Испания, 0.75 л., Ла Манча, 13%",ВиноВискондеДеБегихарDOPкрасноесухое.png
75,ВиноПуэнтеЛаКаролинаКриансаРиохаDOCкрасноесухое,"Испания, 0.75 л., Риоха, 13.5%",ВиноПуэнтеЛаКаролинаКриансаРиохаDOCкрасноесухое.png
76,ВиноКампоВентаДонХуанТиеррадеКастильябелоесухое,"Испания, 0.75 л., Кастилия, 12%",ВиноКампоВентаДонХуанТиеррадеКастильябелоесухое.png
77,ВиноКампоВентаДонХуанТиеррадеКастильярозовоесухое,"Испания, 0.75 л., Кастилия, 12%",ВиноКампоВентаДонХуанТиеррадеКастильярозовоесухое.png
78,ВиноКампоВентаДонХуанТиеррадеКастильябелоеполусладкое,"Испания, 0.75 л., Кастилия, 12%",ВиноКампоВентаДонХуанТиеррадеКастильябелоеполусладкое.png
79,ВиноЛизардПиноНуарРозерозовоеполусухое,"Германия, 0.75 л., Рейнхессен, 11%",ВиноЛизардПиноНуарРозерозовоеполусухое.png
80,ВиноМукузаниКахуриГвинисМараникрасноесухое,"Грузия, 0.75 л., Кахети, 12%",ВиноМукузаниКахуриГвинисМараникрасноесухое.png
81,ВиноВаллеЭрмосоШардонебелоесухое,"Чили, 0.75 л., Центральная Долина, 10%",ВиноВаллеЭрмосоШардонебелоесухое.png
82,ВиновыдержанноесортовоеКахуриКиндзмарауликрасноеполусладкое,"Грузия, 0.75 л., Кахети, 12%",ВиновыдержанноесортовоеКахуриКиндзмарауликрасноеполусладкое.png
