plu,name,image_small,promo.date_begin,promo.date_end,promo.mech,promo.expired_at,prices.price_regular,prices.price_discount,prices.discount,is_new
21473,TOFFIFEE Конфеты 125г,products/mini_21473.jpg,2023-09-26,2023-10-02,,0,219.99,134.90,38,False
5232,КОМИЛЬФО Конф.ФИСТАШКА шок.с двух.н.116г,products/mini_5232.jpg,2023-09-14,2023-10-04,,2,429.99,269.99,37,False
17885,ЧУПА ЧУПС Карам.ЭКЗ-ТРОПИК с нат.сок.12г,products/mini_17885.jpg,2023-09-14,2023-10-04,,2,10.99,8.99,18,False
22245,MERCI Наб.кон.шок.ассорт.с нач.и б/н250г,products/mini_22245.jpg,2023-09-26,2023-10-02,,0,549.99,249.99,54,False
41334,БОН ПАРИ Леденцы АССОРТИ фруктовые 75г,products/mini_41334.jpg,2023-09-14,2023-10-04,,2,69.99,44.99,35,False
2057839,Конфеты БАТОНЧИК РОТ ФРОНТ 250г,products/mini_2057839.jpg,2023-09-26,2023-10-02,,0,219.99,129.99,40,False
3498891,HALLS Карам.лед.мед/лимон 25г,products/mini_3498891.jpg,2023-09-14,2023-10-04,,2,44.99,39.99,11,False
3498892,HALLS Карам.COLORS АССОРТИ лед.25г,products/mini_3498892.jpg,2023-09-14,2023-10-04,,2,44.99,39.99,11,False
3498896,"HALLS Карам.МЕНТ.ЭКСТ.лед.мент/эвк.24,5г",products/mini_3498896.jpg,2023-09-14,2023-10-04,,2,44.99,39.99,11,False
3611870,КР.ОКТЯБРЬ Конф.МИШКА КОСОЛАПЫЙ 200г,products/mini_3611870.jpg,2023-09-26,2023-10-02,,0,329.99,159.99,51,False
3619012,WER.ORIG.Карамель слив.50г,products/mini_3619012.jpg,2023-09-14,2023-10-04,,2,69.99,49.99,28,False
3992365,MILKA Конфеты мол.шок.орех.нач.110г,products/mini_3992365.jpg,2023-09-26,2023-10-02,,0,279.99,189.99,32,False
4124907,CHUPA CHUPS Карамель КИС.вк.яб/в/л/ап12г,products/mini_4124907.jpg,2023-09-14,2023-10-04,,2,9.99,7.99,20,False
4158069,КОРКУНОВ Кол.плит.шок.мол/тем/м.фун.131г,products/mini_4158069.jpg,2023-09-26,2023-10-02,,0,429.99,249.99,41,False
4232923,MILLA VAN.Конф.ТРЮФЕЛЬ КЛАСС.неглаз.200г,products/mini_4232923.jpg,2023-09-26,2023-10-02,,0,159.99,129.99,18,False
4273338,MIL.VANIL.Конфеты с нач.кок.стр.гл.150г,products/mini_4273338.jpg,2023-09-26,2023-10-02,,0,129.99,99.99,23,False
4284962,LENCO Карамель МОНСТРИКИ АССОРТИ лед.11г,,2023-09-14,2023-10-04,,2,34.99,26.99,22,False
