,name,info,image
68,Вино Домен Де Сибадье Шардоне белое сухое,"Франция, 0.75 л., Лангедок Руссийон, 13.5%",Вино Домен Де Сибадье Шардоне белое сухое.png
69,Вино Домен де Сибадье Пино Нуар красное сухое,"Франция, 0.75 л., Лангедок Руссийон, 13%",Вино Домен де Сибадье Пино Нуар красное сухое.png
70,Вино Валле Эрмосо Мерло красное сухое,"Чили, 0.75 л., Центральная Долина, 13%",Вино Валле Эрмосо Мерло красное сухое.png
71,Вино Дип Руж ДжиЭсЭм Пеи ДОК красное полусухое,"Франция, 0.75 л., Лангедок, 13.5%",Вино Дип Руж ДжиЭсЭм Пеи ДОК красное полусухое.png
72,Вино КабернеСира Ле Бью Сюд Пэи дОк красное полусухое,"Франция, 0.75 л., Лангедок, 13%",Вино КабернеСира Ле Бью Сюд Пэи дОк красное полусухое.png
73,Вино Висконде Де Бегихар DOP красное полусладкое,"Испания, 0.75 л., Ла Манча, 13%",Вино Висконде Де Бегихар DOP красное полусладкое.png
74,Вино Висконде Де Бегихар DOP красное сухое,"Испания, 0.75 л., Ла Манча, 13%",Вино Висконде Де Бегихар DOP красное сухое.png
75,Вино Пуэнте Ла Каролина Крианса Риоха DOC красное сухое,"Испания, 0.75 л., Риоха, 13.5%",Вино Пуэнте Ла Каролина Крианса Риоха DOC красное сухое.png
76,Вино Кампо Вента Дон Хуан Тиерра де Кастилья белое сухое,"Испания, 0.75 л., Кастилия, 12%",Вино Кампо Вента Дон Хуан Тиерра де Кастилья белое сухое.png
77,Вино Кампо Вента Дон Хуан Тиерра де Кастилья розовое сухое,"Испания, 0.75 л., Кастилия, 12%",Вино Кампо Вента Дон Хуан Тиерра де Кастилья розовое сухое.png
78,Вино Кампо Вента Дон Хуан Тиерра де Кастилья белое полусладкое,"Испания, 0.75 л., Кастилия, 12%",Вино Кампо Вента Дон Хуан Тиерра де Кастилья белое полусладкое.png
79,Вино Лизард Пино Нуар Розе розовое полусухое,"Германия, 0.75 л., Рейнхессен, 11%",Вино Лизард Пино Нуар Розе розовое полусухое.png
80,Вино Мукузани Кахури Гвинис Марани красное сухое,"Грузия, 0.75 л., Кахети, 12%",Вино Мукузани Кахури Гвинис Марани красное сухое.png
