web-scraper-order,web-scraper-start-url,catecories,catecories-href,product,product-href,name,price,pic_url-src,address,pic_url_slide-src
1698541593-275,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/9934,Кукурузные шарики CHEETOS КРАБ 80Г,54.99 ₽,,Владим. обл. г.Владимир ул.Белоконской д.14Б,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBNG11SVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--542520c5fe41af56f8b8ee9af4bdf7e1893cbb37/f7eafb66-3b70-11ee-9a31-005056011b5d.jpeg
1698541593-286,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/2227,Семечки МОЛОДЕЖНЫЕ 200Г,48.99 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa2dWIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--f22fea90e0af711769506c4de6e9135a7e3cc4c2/d9dbe5b9-494b-11ec-9a22-005056011b5d.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698541600-276,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/10040,Сухарики ФИШКА ГОВЯДИНА ПО-ЯПОНСКИ 100Г,54.99 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBd3p4SVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--477b54fd6e703a54012f0ca89b0b271ce3dded64/f47f76fb-4bee-11ee-9a31-005056011b5d.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698541600-287,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/2096,Семечки ОТ МАРТИНА ОТБОРНЫЕ ЖАРЕНЫЕ ПРЕМИУМ 100Г,47.89 ₽,,Владим. обл. г.Владимир ул.Белоконской д.14Б,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBNlZDSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--ca26c93c9dfdf992b1501a97d877eed9dbd29826/4adb2eab-efd0-11ed-9a2d-005056011b5d.jpeg
1698541607-277,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/10039,Сухарики ФИШКА ЧЕСНОК 100Г,54.99 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBd2p4SVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--71e313bbc97089190b8ad27c435e0e0ec8c20e8b/f47f76f0-4bee-11ee-9a31-005056011b5d.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698541607-288,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/167,Кукурузные палочки CHEETOS КЕТЧУП 50Г,47.29 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBOFZYSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--5d15a126547408dfd4fab06b30606eb4d07df8c3/a61eae1b-fe12-11ed-9a2d-005056011b5d.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698541614-278,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/10038,Сухарики ФИШКА СМЕТАНА С ЛУКОМ 100Г,54.99 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBd1R4SVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--52a658bcf395aee91bed9b48ba2066012d796afe/f47f76e4-4bee-11ee-9a31-005056011b5d.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698541615-289,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/6220,Кукурузные палочки CHEETOS СЫР 50Г,47.29 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBN3RYSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--40d79c63c1ee39729368681e75521f0dc30e6111/a33bd8a1-fe05-11ed-9a2d-005056011b5d.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698541621-279,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/9333,Миндаль «ОТЕЦ ОРЕХ» ВАСАБИ ЖАРЕНЫЙ 50Г,54.99 ₽,,Владим. обл. г.Владимир ул.Белоконской д.14Б,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBNWxFSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--0ca271b7003693b4361adf9fd480e9b606b9c1d5/c8a9c0c8-f0c9-11ed-9a2d-005056011b5d.jpeg
1698541622-290,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/8032,Чипсы BON GIORNO КАРАМЕЛИЗОВАННЫЙ ЛУК С СЫРОМ 80Г,46.99 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMzM0SUE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--2b8684dd9378b53237e9b07e28836536b5c6b052/579e188d-bce3-11ed-9a29-005056011b5d.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698541628-280,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/3496,Крекер ЯШКИНО ФРАНЦУЗСКИЙ ХРУСТ С КУНЖУТОМ 185Г,49.99 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBbFloIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--17530fa2188bf2bc0109ca88b89ba0f9abe2760c/f7440026-493e-11ec-9a22-005056011b5d.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698541629-291,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/9305,Чипсы РУССКАЯ КАРТОШКА СМЕТАНА И УКРОП 80Г,45.49 ₽,,Владим. обл. г.Владимир ул.Белоконской д.14Б,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeU5FSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--f0eae8006fe5ab6018b82c099de5a7f345d470a2/d31a82ef-f096-11ed-9a2d-005056011b5d.jpeg
1698541635-281,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/9424,Сухарики ХРУСTEAM ЧИАБАТТА ОЛИВКИ И АРОМАТНЫЕ ТРАВЫ 55Г,49.99 ₽,,Владим. обл. г.Владимир ул.Белоконской д.14Б,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeHBOSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--58df8184c15f6ed0e1162a2b064dbbaa3c3b9200/c19c6d17-f654-11ed-9a2d-005056011b5d.jpeg
1698541636-292,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/3308,Чипсы РУССКАЯ КАРТОШКА КУРИЦА 80Г,45.49 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBcElmIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--cefd0bb613ad388cc95127ca95da38964528c110/cd2a083f-493c-11ec-9a22-005056011b5d.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698541642-282,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/9310,Чипсы РУССКАЯ КАРТОШКА КАМЧАТСКИЙ КРАБ 80Г,49.99 ₽,,Владим. обл. г.Владимир ул.Белоконской д.14Б,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeTlFSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--279b47526ae5a5e2f47882a07f226e1dd5c4b5a3/df0d76f7-f096-11ed-9a2d-005056011b5d.jpeg
1698541643-293,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/9124,Крендели с солью SALTLETTS КЛАССИЧЕСКИЕ СТО 150Г,44.99 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBL1FkSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--19dcc1de3749b76b232e82ae9aa62ac54d00a178/a0e30e1a-d494-11ed-9a2b-005056011b5d.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698541649-283,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/9304,Чипсы РУССКАЯ КАРТОШКА СМЕТАНА И ЛУК 80Г,49.99 ₽,,Владим. обл. г.Владимир ул.Белоконской д.14Б,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBeDlFSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--1aae0e442cc378b918856807fc6434c803c0ed4b/d9152ca9-f096-11ed-9a2d-005056011b5d.jpeg
1698541650-294,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/8732,Кешью БАРМЕН ЖАРЕНЫЕ 50Г,44.99 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBM242SUE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--ee4766d116903722880e834f5a52b544a54686ca/5da71561-bce3-11ed-9a29-005056011b5d.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698541651-284,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/4301,Колбаски с/к ПИКОЛИНИ СО ВКУСОМ ХАМОНА 50Г,49.89 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBb1ZkIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--2334c4b02a41bcc755b63b917bed416f212fc198/03828ad7-e80b-11ec-9a25-005056011b5d.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698541657-295,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/1897,Сыр копченый СЫРЦЕЕДЫ КЛАССИКА 23Г,44.99 ₽,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBNzdjSUE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--1a5913991aa0ceefae7786d324ab37e7b73d9609/784a0387-a62a-11ed-9a28-005056011b5d.jpeg,Владим. обл. г.Владимир ул.Белоконской д.14Б,
1698541659-285,https://bristol.ru/catalog,Снэки,https://bristol.ru/category/139,,https://bristol.ru/product/2184,Семечки ОТ МАРТИНА ОТБОРНЫЕ ЖАРЕНЫЕ С МОРСКОЙ СОЛЬЮ 100Г,49.69 ₽,,Владим. обл. г.Владимир ул.Белоконской д.14Б,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBNmxDSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--44ea041e8ee575c0980103e1484d85c0a2ddbad8/799ff5ce-efd0-11ed-9a2d-005056011b5d.jpeg
