name,price,address,pic_url,name_shop
"Уголь ДРЕВЕСНЫЙ БЕРЕЗОВЫЙ 2,5КГ",194.99 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBa2dyIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--510a3cfd1d1f1a7a6de62a2b62ee92026944299f/6dd7c3e5-45eb-11ec-9a22-005056011b5d.jpeg,bristol
Презервативы DUREX CLASSIC №3,189.99 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBaDhWIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--1b14f9af42fe7899f33cbaaa4864106b22cccacf/37444dc4-45eb-11ec-9a22-005056011b5d.jpeg,bristol
Станки для бритья одноразовые GILLETTE2 4+1ШТ,169.99 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBOXlvSUE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--c4619a708162fd1710888ee56dca4787a339c94f/b388a5fe-803e-11ed-9a27-005056011b5d.jpeg,bristol
Презервативы CONTEX LIGHTS №3,166.99 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBclVVIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--8d9b2e9fcddb469d6e3a18580b1f23c9f8c70b11/37444dc3-45eb-11ec-9a22-005056011b5d.jpeg,bristol
Шампунь ЧИСТАЯ ЛИНИЯ ПОЛЬЗА РАСТЕНИЙ КОМПЛЕКСНЫЙ УХОД 385МЛ,149.99 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBNDBXSVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--0fe4c75a6714c62d181047b8b2415e0dcaa8ce3b/8907e1cf-cfd3-11ed-9a2b-005056011b5d.jpeg,bristol
Элементы питания KODAK XTRALIFE ALCALINE AAA-4ШТ БЛИСТЕР,149.99 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBOWh0SUE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--da6035a8b01c7fa779a152b58427f2c19c2af7d8/10301d76-7547-11ed-9a27-005056011b5d.jpeg,bristol
Элементы питания KODAK XTRALIFE ALKALINE AA-4ШТ БЛИСТЕР,149.99 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBOVJ0SUE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--e1158fb3d5f04e0aeb86a76d86c6fdef096f5933/10301d7c-7547-11ed-9a27-005056011b5d.jpeg,bristol
Игрушка SBOX CLUB ДИНОПАРК FLOW-PACK,149.99 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBOFd2SVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--b1ff702ba6015656cdbd4decfb2317147dc31c14/8dd50e09-3c40-11ee-9a31-005056011b5d.jpeg,bristol
Игрушка SBOX CLUB ЗВЕРЯТА FLOW-PACK,149.99 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBNyt2SVE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--384e5965a07bbcb935b07ba624e0a6a4bd9e2fa5/8dd50e08-3c40-11ee-9a31-005056011b5d.jpeg,bristol
Игрушка SBOX CLUB ПРИНЦЕССЫ FLOW-PACK,149.99 ₽,Владим. обл. г.Владимир пр-кт Суздальский д.24,https://api.mobile.bristol.ru/rails/active_storage/blobs/redirect/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBMVg3SUE9PSIsImV4cCI6bnVsbCwicHVyIjoiYmxvYl9pZCJ9fQ==--4f989b445b4ba6d697db3fe2f308381a36483fa9/abb99c72-be78-11ed-9a29-005056011b5d.jpeg,bristol
